Comp Ch 3,Comp Ch 4
-0.000635846,-0.00666402
0.00714562,-0.000330807
0.015049,0.00803713
-0.0162431,0.0100169
-0.0422956,-0.00153394
-0.0237482,-0.00893802
-0.00238654,0.000143279
0.00285236,0.00123976
-0.0036638,-0.00797033
-0.0152691,-0.00524487
-0.0129738,-0.00806747
0.00571831,-0.0162126
0.0144036,-0.0215078
-0.00788696,-0.0168897
-0.0164294,0.00477509
-0.0158974,0.00393978
-0.0112587,0.00452234
0.00167312,0.00757015
0.0231758,-0.00555042
0.0234058,-0.00795323
0.0165657,-0.00550487
0.0126067,0.0125378
0.00704911,0.00849996
0.0322489,0.00426665
0.0529761,0.0146266
0.0306919,0.0202706
-0.00810973,0.0150165
-0.0403572,-0.000943057
-0.092167,-0.0217502
-0.098285,-0.00880421
-0.0371733,0.00848646
-0.00415464,0.00379899
0.00041397,-0.00181711
0.0156393,-0.0130273
0.0506071,-0.0288077
0.0851994,-0.0229568
0.0723703,0.0155968
0.0371187,0.0201548
0.0027239,-0.00296683
-0.0162855,0.0144328
-0.0296648,0.00961271
-0.042153,-0.0195774
-0.026462,-0.0234801
-0.00662983,-0.000742711
0.0206741,0.0142341
0.0750395,0.00816131
0.0821408,0.0155407
0.0374929,0.029255
-0.0292876,0.0113403
-0.0222483,-0.00808249
-0.0203585,-0.000528396
-0.0166813,-0.0151686
-0.00952702,-0.0307789
-0.0195338,0.000561511
-0.0485914,0.0149398
-0.0939592,0.00157043
-0.106715,-0.0411153
-0.0722028,-0.0742686
-0.000962553,-0.0157406
0.0595246,0.0507984
0.110547,0.0459626
0.11105,-0.00773965
0.0754172,-0.00206328
0.0461272,0.0579252
0.00635457,0.0278768
-0.0175976,-0.00057069
-0.0550363,-0.0107304
-0.119918,-0.0101099
-0.111759,-0.00404464
-0.0616001,0.00872326
-0.0171703,0.00934254
0.0190734,0.00716019
0.0776289,0.00338132
0.0987436,0.00101089
0.0543401,-0.00521969
0.02201,-0.00820627
0.0131634,-0.00717001
0.00648639,-0.00162076
0.00109383,0.000488486
0.00536627,0.000217466
0.00520544,-0.00478244
-0.00102558,-0.0113054
-0.00702004,-0.018705
0.00149815,-0.00805074
0.0137224,-0.0023253
0.00261657,-0.0306491
-0.00755449,-0.023852
-0.00480885,0.00893961
-0.0263137,0.0131927
-0.0479623,0.0138224
-0.030647,0.0100673
-0.0276319,0.02617
-0.0302397,0.00012262
-0.0192066,-0.0377389
0.0044735,0.00156066
0.0240034,0.0423682
0.0383006,0.0205746
0.0252539,0.015676
0.00362242,0.0028676
0.00822472,-0.00503141
0.0274786,-0.00796623
0.0465507,-0.00656272
0.0620561,-0.00375273
0.0469931,0.00401045
-0.00253615,0.0117669
-0.0472657,-0.00465691
-0.0549052,-0.0128725
-0.0434119,-0.0498618
-0.0169842,-0.037029
-0.00165998,0.027375
0.0105104,0.0299856
0.00261146,-0.0155665
-0.0038817,-0.00139403
-0.0375536,0.0248615
-0.0939766,0.0191913
-0.122552,0.00161722
-0.0780988,-0.0214625
-0.0234938,-0.0113923
0.0348809,0.00948934
0.102866,0.00590421
0.0834184,0.00492231
0.0463732,-0.00196883
0.0285836,-0.00906237
0.0349995,0.00358053
0.030024,0.00544228
-0.00705586,-0.0354775
-0.00891914,-0.0502051
0.0354159,0.007474
0.0512589,0.0357078
0.0304476,0.0222401
0.0409626,0.0129959
0.0307713,-0.00416387
0.0166461,-0.0064318
0.0147659,0.01072
-0.0236399,0.00655961
-0.0588764,0.0046059
-0.0544768,0.00827587
-0.0430273,0.0103785
-0.0265272,0.00283246
-0.015631,0.000883746
-0.00255664,0.00551335
0.00816022,0.0174567
0.0230823,0.0261467
0.008204,-0.00244643
-0.0396249,-0.0362601
-0.0832481,-0.0478253
-0.0919247,-0.0238158
-0.110998,-0.0128841
-0.138365,-0.018943
-0.0606329,-0.028617
0.0465219,0.00855762
0.0713982,0.0284797
0.10301,0.0119549
0.146266,-0.005353
0.131234,0.0172512
0.0857151,0.0268052
0.0504226,0.00597643
0.0105172,0.00284728
0.0049087,0.0175705
0.00348427,0.0111835
-0.014666,-0.00583349
0.00702449,-0.00805749
0.0414649,-0.00100403
0.0491841,0.0128875
0.00155602,-0.01182
-0.0530373,-0.0137374
-0.0522072,0.000834942
-0.0458544,-0.0079908
-0.0510413,-0.00923697
-0.0462552,-0.00444584
-0.0265148,0.0141709
-0.0189268,0.0118858
-0.027359,-0.0112124
-0.0176543,0.00417078
-0.0101417,0.0188247
-0.00741622,-0.00329198
0.0105118,-0.0329864
0.0152377,-0.0226489
0.022785,-0.00486414
0.0321269,-0.00209871
0.0397445,0.00533232
0.0305549,0.0269553
0.0172984,0.0197419
-0.0048534,0.00525914
-0.0206136,-0.00843791
-0.0242031,0.00195716
-0.0227334,0.0216327
-0.0211894,-0.00774114
-0.0185459,-0.0250969
-0.00699488,0.0070814
-0.0113895,0.00165187
-0.0103156,-0.00829424
-0.00628091,-0.0054695
0.00449821,0.0141025
0.0117372,0.00762022
0.0187295,-0.00268051
0.019503,-0.00525935
0.0190528,-0.00402653
0.0220683,0.00141319
0.0153441,-0.000811008
0.00263813,-0.00109115
-0.00427259,0.00165498
-0.00541488,0.0029807
-0.00203298,0.00302586
-0.00476999,-0.00889522
-0.0129195,-0.018142
-0.0107233,-0.0175804
-0.0111744,-0.0294058
-0.0238827,-0.0218832
-0.0370051,0.0182963
-0.0417275,0.0416403
-0.0376398,0.0474022
0.0206355,0.00927932
0.0675405,-0.0124709
0.0607869,-0.0225236
0.0292968,0.0014429
0.0124788,0.00838522
-0.00136281,0.00692644
-0.00902632,-0.000313679
-0.0120127,-0.00120262
-0.00969008,0.000159166
-0.0064367,0.00238443
-0.00790236,0.00768814
-0.00558316,-0.00151228
-0.00372145,-0.0372255
0.00746441,-0.0190782
0.0287938,0.00871837
0.0341768,0.0311854
0.0290198,0.0417496
0.00351354,0.0240099
-0.00983502,-0.0161249
0.00544499,-0.0137535
0.00961524,-0.00861965
-0.0128113,-0.014674
-0.033697,-0.010629
-0.0266293,-0.000892058
-0.0371394,0.0035465
-0.0589328,-0.0198501
-0.0717117,-0.0711683
-0.0339305,-0.0594451
0.0134436,0.0158015
0.0617717,0.0687013
0.0733722,0.0416724
0.042321,0.0168198
0.0148504,0.0114215
0.023833,0.00848244
0.0440425,0.00801862
0.0461053,0.00206887
0.035224,-0.00186346
0.0142381,0.00279806
-0.0151873,0.00472688
-0.0421347,-0.000646577
-0.0722738,-0.00333779
-0.0969929,-0.00572418
-0.0776785,-0.00416308
-0.0390109,-0.000950294
0.00165075,-0.000528302
0.021906,-0.00583151
0.0411518,-0.0184882
0.0238227,-0.0296196
0.00466301,-0.00269613
0.00467047,-0.00213598
0.00277498,-0.00983854
0.0181751,-0.00324926
0.0403822,0.00450518
0.0625816,0.0147198
0.0372025,0.0128708
0.00356084,0.0019585
-0.0131861,0.00983705
-0.0181619,0.0080867
-0.0152631,0.00564092
-0.0017673,0.00380012
0.000604072,0.00315909
-0.00664698,0.00612683
-0.0144611,0.00678633
-0.0141999,0.00512475
-0.00806686,0.010447
-0.00387537,0.00626751
-0.0054303,-0.0143974
-0.00605816,-0.0126484
-0.00108602,0.0225036
0.00918075,0.023916
0.0284537,-0.0540399
0.0225617,-0.0704153
-0.0138062,-0.0727922
-0.0252039,0.0138413
-0.0316621,0.0661586
-0.0471602,0.0346906
-0.0459728,-0.00383666
-0.0566758,-0.0123526
-0.0305986,-0.00611874
0.0058655,-0.0158788
0.0460307,-0.0119573
0.062201,0.00879497
0.0550978,0.0468937
0.045961,0.0368521
0.0140717,0.00329265
-0.00359191,0.00147917
0.0114178,0.00225094
0.0179904,-0.00991971
0.0277715,-0.0124656
0.0205782,-0.0278261
0.0294366,-0.0243126
0.0524515,0.00438889
0.0116832,0.0261105
-0.0637483,0.0242974
-0.0815628,0.0211569
-0.0696089,0.0103456
-0.0584022,-0.0052396
-0.047508,-0.0142378
-0.022441,-0.0139114
0.00905226,-0.00757236
0.0199232,-0.000744539
0.0283445,0.0184199
0.030423,0.0126394
0.0227132,-0.0128777
0.00919759,-0.0233629
0.0129441,-0.00645162
0.0123334,0.0151223
-0.00984503,0.0117671
-0.0266071,-0.0204877
0.00111538,-0.0358975
0.0386624,0.0160342
0.0253984,0.0266439
0.00702784,0.0038353
-0.00608288,-0.00208825
-0.00720703,0.00303906
0.000953754,-0.000524908
0.00216374,-0.0100303
0.000768574,-0.0101263
0.0100119,0.00144661
0.0065731,0.0100116
-0.000491975,0.00205547
0.000720153,0.0140253
-0.0246612,0.0167509
-0.0456955,0.0124217
-0.0202427,0.00688428
-0.00620646,-0.0350995
0.0136441,-0.0496789
0.0472134,-0.00274209
0.0312015,-0.00892874
0.00722238,0.00411209
-0.00136264,0.0252748
-0.0117472,0.000890471
-0.0271521,-0.00814454
-0.0592955,-0.0425088
-0.0656964,-0.0306396
-0.027197,0.032839
0.0012303,0.0436998
0.007709,0.0250796
0.0298006,0.0163367
0.0621558,0.011051
0.058905,0.00850488
0.0301709,0.00263736
0.013176,0.00272411
0.0031889,-0.00536415
0.00767607,-0.0103481
0.024495,-0.0062036
0.028402,-0.0186379
0.0346893,-0.00122535
0.0226367,0.00861753
-0.0330933,0.00649716
-0.0954194,-0.00116036
-0.0918961,-0.0121167
-0.0531142,-0.0105043
