Comp Ch 3,Comp Ch 4
0.6695546587410851,0.5226627095939765
0.6383955424512973,0.6820749226292206
0.6130255080033797,0.6318305695413182
0.5455223616026849,0.770818051642108
0.42589797980394817,0.711908633193219
0.4007515909265485,0.4860252205644602
0.29764477874746664,0.3501348792092013
0.1908196004514272,0.2481135387315811
0.18328596498484406,0.694912005173449
0.25325098528134427,0.5974225137419742
0.517628913797484,0.5078778696475587
0.8144568987420305,0.4301353411243013
0.8325169432938826,0.5122938703866229
0.8017294863537794,0.46213127627142125
0.5555202344585531,0.5277301030070672
0.280040593000514,0.5124386345789643
0.23958112986805793,0.48788396692687874
0.45052144574896147,0.6069254930943692
0.5025709786635626,0.636807704743868
0.5668750480084612,0.5907815603492077
0.6512863313263334,0.6805949466488058
0.5324522426598755,0.6550210171370501
0.29387027966036594,0.5360378908956533
0.12832292411413304,0.4998250265601182
0.19834407738077653,0.4276373042634763
0.47179601869523335,0.5576749041526167
0.7785282526101831,0.5306165642754861
0.6319387737014079,0.2582567324125825
0.5087029738656708,0.6476617857637765
0.5112949876212028,0.5392439743175204
0.5108625864890894,0.46769458173587686
0.49922087437441276,0.49350168599011496
0.48070810264652175,0.7689837867799898
0.4799221819771804,0.5913557208185135
0.45856470949710765,0.5109537622984894
0.49088817426037423,0.43000277149059996
0.5450351865091791,0.4666474202041664
0.506774569991905,0.558414661185274
0.41222664720723695,0.581403067116264
0.3935795699623613,0.5481203288835511
0.46268368775887636,0.504700078525567
0.5737593136414935,0.4987177698738971
0.5950091880809023,0.7951891542334517
0.6007536589833432,0.5338297288558362
0.5200084494891899,0.44539378262275386
0.4950461767538598,0.573305464455633
0.48984512322664125,0.5554058847983739
0.4681148480569129,0.4534675966557346
0.5003789861794719,0.3613700401866137
0.51739085091674,0.5205849692826457
0.484161550688072,0.6063259272945631
0.4923329276002859,0.6731276271421311
0.47410128160433934,0.5720415723590003
0.4395131794305162,0.5001530786641415
0.36469738420359127,0.33368423483763676
0.36038755384333576,0.7407667790660075
0.2133761913484321,0.7463771998706636
0.1342109772454665,0.48247216961522466
0.4380628807440277,0.304106887154141
0.8237099757151044,0.6581971453646819
0.8480982740588863,0.4907182779805071
0.7736937266974314,0.6281347868261813
0.6359623259139333,0.6730458681694304
0.4959979851218085,0.42076677906600757
0.353697390112325,0.43994965125409946
0.20137496233182262,0.6411825026560117
0.14032356225737258,0.5348562058293684
0.3707015439521156,0.36902351147859014
0.6837820031788987,0.3886498221626864
0.7394026861103397,0.514510878100605
0.6892786027026547,0.5830806503764607
0.5455495417777015,0.6228980553374289
0.5287776011722927,0.5771451337244213
0.49659331958567954,0.4722227354612222
0.4241625847164694,0.5171406069564414
0.39877246057397436,0.6129941336782299
0.46228579363156674,0.6761577901981615
0.668051772324673,0.3237974040371379
0.754740281610248,0.4798193911958981
0.46343560366577835,0.38038154187260376
0.46149889802116506,0.7287015566538869
0.45691321842815863,0.6207395260751073
0.35658085215757407,0.5497316273268973
